gene,split,n_variants,n_pos,n_neg,pos_ratio,sym,n,pos,movers
1495,test,627,34,593,0.0542,CTNNA1,627,34,29
1956,test,585,0,585,0.0,EGFR,585,0,22
2175,test,1053,213,840,0.2023,FANCA,1053,213,18
2271,test,478,151,327,0.3159,FH,478,151,16
2316,test,701,30,671,0.0428,FLNA,701,30,15
23405,test,1181,143,1038,0.1211,DICER1,1181,143,46
238,test,903,1,902,0.0011,ALK,903,1,22
26040,test,151,16,135,0.106,SETBP1,151,16,17
2956,test,1803,348,1455,0.193,MSH6,1803,348,26
324,test,2530,463,2067,0.183,APC,2530,463,36
4221,test,627,158,469,0.252,MEN1,627,158,15
4233,test,800,4,796,0.005,MET,800,4,21
4292,test,1282,493,789,0.3846,MLH1,1282,493,29
4436,test,1516,492,1024,0.3245,MSH2,1516,492,54
472,test,3433,838,2595,0.2441,ATM,3433,838,47
4763,test,2631,1152,1479,0.4379,NF1,2631,1152,68
4851,test,935,12,923,0.0128,NOTCH1,935,12,36
5156,test,560,0,560,0.0,PDGFRA,560,0,16
5395,test,1133,234,899,0.2065,PMS2,1133,234,15
5424,test,1070,2,1068,0.0019,POLD1,1070,2,21
5426,test,1697,6,1691,0.0035,POLE,1697,6,30
5727,test,1041,85,956,0.0817,PTCH1,1041,85,48
5728,test,737,358,379,0.4858,PTEN,737,358,44
580,test,850,135,715,0.1588,BARD1,850,135,14
5925,test,670,193,477,0.2881,RB1,670,193,15
6389,test,664,85,579,0.128,SDHA,664,85,24
6597,test,1240,41,1199,0.0331,SMARCA4,1240,41,16
672,test,2698,820,1878,0.3039,BRCA1,2698,820,35
675,test,3879,1009,2870,0.2601,BRCA2,3879,1009,44
6927,test,330,185,145,0.5606,HNF1A,330,185,26
7015,test,722,24,698,0.0332,TERT,722,24,29
7157,test,857,324,533,0.3781,TP53,857,324,39
7248,test,949,124,825,0.1307,TSC1,949,124,20
7249,test,2503,275,2228,0.1099,TSC2,2503,275,55
79728,test,1129,279,850,0.2471,PALB2,1129,279,14
8085,test,614,96,518,0.1564,KMT2D,614,96,40
8313,test,847,24,823,0.0283,AXIN2,847,24,19
83990,test,1132,204,928,0.1802,BRIP1,1132,204,26
861,test,660,90,570,0.1364,RUNX1,660,90,92
999,test,1110,143,967,0.1288,CDH1,1110,143,17
10006,train,2,0,2,0.0,ABI1,2,0,0
10019,train,20,0,20,0.0,SH2B3,20,0,0
1008,train,2,0,2,0.0,CDH10,2,0,0
10111,train,631,94,537,0.149,RAD50,631,94,5
10142,train,417,0,417,0.0,AKAP9,417,0,6
1015,train,3,0,3,0.0,CDH17,3,0,0
1019,train,273,2,271,0.0073,CDK4,273,2,0
1021,train,13,0,13,0.0,CDK6,13,0,0
1026,train,2,0,2,0.0,CDKN1A,2,0,0
1027,train,170,14,156,0.0824,CDKN1B,170,14,3
1029,train,245,55,190,0.2245,CDKN2A,245,55,8
10413,train,11,0,11,0.0,YAP1,11,0,0
10499,train,4,0,4,0.0,NCOA2,4,0,0
1050,train,181,2,179,0.011,CEBPA,181,2,0
10568,train,15,0,15,0.0,SLC34A2,15,0,0
10664,train,38,14,24,0.3684,CTCF,38,14,0
10672,train,2,0,2,0.0,GNA13,2,0,0
10721,train,22,0,22,0.0,POLQ,22,0,0
10736,train,4,0,4,0.0,SIX2,4,0,0
10801,train,114,1,113,0.0088,SEPTIN9,114,1,1
10923,train,1,0,1,0.0,SUB1,1,0,0
10962,train,1,0,1,0.0,MLLT11,1,0,0
1106,train,293,41,252,0.1399,CHD2,293,41,3
11064,train,9,0,9,0.0,CNTRL,9,0,0
1108,train,57,15,42,0.2632,CHD4,57,15,0
11122,train,20,0,20,0.0,PTPRT,20,0,0
11143,train,1,0,1,0.0,KAT7,1,0,0
11166,train,1,0,1,0.0,SOX21,1,0,0
11168,train,3,0,3,0.0,PSIP1,3,0,0
11177,train,2,0,2,0.0,BAZ1A,2,0,0
11197,train,18,0,18,0.0,WIF1,18,0,0
11200,train,698,208,490,0.298,CHEK2,698,208,8
114788,train,18,0,18,0.0,CSMD3,18,0,0
120114,train,20,0,20,0.0,FAT3,20,0,0
121227,train,2,0,2,0.0,LRIG3,2,0,0
1236,train,1,0,1,0.0,CCR7,1,0,0
1277,train,641,267,374,0.4165,COL1A1,641,267,9
1280,train,428,184,244,0.4299,COL2A1,428,184,3
1281,train,668,183,485,0.274,COL3A1,668,183,7
1316,train,3,0,3,0.0,KLF6,3,0,0
1385,train,2,0,2,0.0,CREB1,2,0,0
1387,train,312,59,253,0.1891,CREBBP,312,59,4
140885,train,7,0,7,0.0,SIRPA,7,0,0
142,train,4,0,4,0.0,PARP1,4,0,0
1496,train,37,0,37,0.0,CTNNA2,37,0,0
1499,train,61,21,40,0.3443,CTNNB1,61,21,0
1501,train,56,0,56,0.0,CTNND2,56,0,0
1558,train,3,0,3,0.0,CYP2C8,3,0,0
1649,train,3,0,3,0.0,DDIT3,3,0,0
1655,train,1,0,1,0.0,DDX5,1,0,0
1662,train,3,0,3,0.0,DDX10,3,0,0
171023,train,308,14,294,0.0455,ASXL1,308,14,5
1785,train,178,20,158,0.1124,DNM2,178,20,6
1788,train,162,24,138,0.1481,DNMT3A,162,24,0
1999,train,1,0,1,0.0,ELF3,1,0,0
2000,train,4,0,4,0.0,ELF4,4,0,0
2006,train,135,18,117,0.1333,ELN,135,18,0
201163,train,577,81,496,0.1404,FLCN,577,81,11
2033,train,244,16,228,0.0656,EP300,244,16,4
2034,train,142,2,140,0.0141,EPAS1,142,2,0
2042,train,2,0,2,0.0,EPHA3,2,0,0
2064,train,30,0,30,0.0,ERBB2,30,0,0
2065,train,30,0,30,0.0,ERBB3,30,0,0
2066,train,53,0,53,0.0,ERBB4,53,0,0
2068,train,368,56,312,0.1522,ERCC2,368,56,0
207,train,184,1,183,0.0054,AKT1,184,1,6
2071,train,65,14,51,0.2154,ERCC3,65,14,1
208,train,24,0,24,0.0,AKT2,24,0,0
2115,train,1,0,1,0.0,ETV1,1,0,0
2118,train,10,0,10,0.0,ETV4,10,0,0
2119,train,9,0,9,0.0,ETV5,9,0,0
2122,train,121,3,118,0.0248,MECOM,121,3,0
2130,train,15,0,15,0.0,EWSR1,15,0,0
2132,train,90,36,54,0.4,EXT2,90,36,1
217,train,4,0,4,0.0,ALDH2,4,0,0
2176,train,343,66,277,0.1924,FANCC,343,66,3
2177,train,208,47,161,0.226,FANCD2,208,47,0
2181,train,4,0,4,0.0,ACSL3,4,0,0
2189,train,202,42,160,0.2079,FANCG,202,42,2
2195,train,175,0,175,0.0,FAT1,175,0,1
2199,train,5,0,5,0.0,FBLN2,5,0,0
2213,train,1,0,1,0.0,FCGR2B,1,0,0
2242,train,3,0,3,0.0,FES,3,0,0
2260,train,133,38,95,0.2857,FGFR1,133,38,0
2261,train,178,34,144,0.191,FGFR3,178,34,0
2262,train,1,0,1,0.0,GPC5,1,0,0
2263,train,162,59,103,0.3642,FGFR2,162,59,3
2264,train,2,0,2,0.0,FGFR4,2,0,0
22806,train,2,0,2,0.0,IKZF3,2,0,0
22849,train,1,0,1,0.0,CPEB3,1,0,0
23048,train,2,0,2,0.0,FNBP1,2,0,0
2308,train,4,0,4,0.0,FOXO1,4,0,0
23085,train,1,0,1,0.0,ERC1,1,0,0
2313,train,24,0,24,0.0,FLI1,24,0,0
23185,train,2,0,2,0.0,LARP4B,2,0,0
2322,train,45,0,45,0.0,FLT3,45,0,0
23365,train,4,0,4,0.0,ARHGEF12,4,0,0
23373,train,4,0,4,0.0,CRTC1,4,0,0
23462,train,4,0,4,0.0,HEY1,4,0,0
23476,train,56,1,55,0.0179,BRD4,56,1,0
23484,train,3,0,3,0.0,LEPROTL1,3,0,0
2475,train,302,18,284,0.0596,MTOR,302,18,12
253260,train,2,0,2,0.0,RICTOR,2,0,0
256646,train,3,0,3,0.0,NUTM1,3,0,0
25913,train,316,28,288,0.0886,POT1,316,28,13
25925,train,2,0,2,0.0,ZNF521,2,0,0
259266,train,181,55,126,0.3039,ASPM,181,55,0
26039,train,29,0,29,0.0,SS18L1,29,0,0
26047,train,200,14,186,0.07,CNTNAP2,200,14,1
2624,train,263,38,225,0.1445,GATA2,263,38,8
